symbol,sample,strategy,cost_bps,total_return,cagr,sharpe,max_drawdown,calmar,trade_win_rate,trade_profit_factor,payoff_ratio,trades,turnover,avg_hold_h
SOLUSDT,IN_SAMPLE (2020-2023),PFR v0.4 Flagship,10.0,-0.23100978395176475,-0.07463413253745821,0.13036481645036155,-0.637334681022933,-0.11710351681736376,0.5241935483870968,1.0803950758154774,0.9806662995863565,124,248.0,24.096774193548388
SOLUSDT,OUT_OF_SAMPLE (2024-2026),Buy & Hold,0.0,-0.05003932363349639,-0.018772905278634622,0.39334039592239717,-0.7873113471212959,-0.023844322004598777,0.5032638450200042,1.0125873860745631,,1,1.0,23745.0
SOLUSDT,OUT_OF_SAMPLE (2024-2026),PFR v0.4 Flagship,0.0,0.6808047961530368,0.21130850884611108,0.7820933602377613,-0.362674824032658,0.5826390332158354,0.5378151260504201,1.4019146569600942,1.204770408325081,119,238.0,25.327731092436974
SOLUSDT,OUT_OF_SAMPLE (2024-2026),PFR v0.4 Flagship,2.5,0.5836964496389465,0.18498644336962622,0.7098015561077361,-0.378728241480307,0.488441111881658,0.5378151260504201,1.379382525442762,1.1854068578023738,119,238.0,25.327731092436974
SOLUSDT,OUT_OF_SAMPLE (2024-2026),PFR v0.4 Flagship,5.0,0.4921763182850585,0.15922999354229694,0.6374783638183001,-0.39438115895902465,0.40374645168797374,0.5294117647058824,1.3571885520352789,1.206389824031359,119,238.0,25.327731092436974
SOLUSDT,OUT_OF_SAMPLE (2024-2026),PFR v0.4 Flagship,10.0,0.32463777974760544,0.10936612463062456,0.4927889667146501,-0.4245248326147754,0.2576200877508293,0.5042016806722689,1.3137016193437734,1.2918065923547106,119,238.0,25.327731092436974
SOLUSDT,FULL_SAMPLE,Buy & Hold,0.0,31.739285109266156,0.7724148281950469,1.0739739950641465,-0.96796161584894,0.7979808450540768,0.4978383335516835,1.0371926996053071,,1,1.0,53431.0
SOLUSDT,FULL_SAMPLE,PFR v0.4 Flagship,0.0,0.6566689324951271,0.0863462397834871,0.4093823467290272,-0.6086255911205493,0.14187086616669176,0.5349794238683128,1.2210164626262652,1.0613450790520613,243,486.0,24.699588477366255
SOLUSDT,FULL_SAMPLE,PFR v0.4 Flagship,2.5,0.46707088633405003,0.06489873312113259,0.3654555407261602,-0.6160064449277173,0.10535398396480716,0.5349794238683128,1.2061029712762812,1.0483818134939982,243,486.0,24.699588477366255
SOLUSDT,FULL_SAMPLE,PFR v0.4 Flagship,5.0,0.29913195087955,0.04386945264955955,0.3215230855563935,-0.6232499026954209,0.0703882222200656,0.5308641975308642,1.191361037658479,1.0528306844423767,243,486.0,24.699588477366255
